time,dofs,dt,gr0area,grain_tracker,run_time
0,0,0,0,2,0
1.5,29932,1.5,199.09479194674,2,7.994427558
3.3,36932,1.8,196.70219469794,2,8.761091692
5.46,37364,2.16,194.35414513924,2,10.401721127
8.052,38228,2.592,191.81211813528,2,10.854249661
11.1624,39940,3.1104,188.77853849866,2,11.400250158
14.89488,39508,3.73248,185.20571510106,2,12.195120679
18.62736,38644,3.73248,181.70084120693,2,12.965367903
22.35984,37780,3.73248,178.15034598113,2,14.097050007
26.09232,37316,3.73248,174.6184212513,2,14.774187364
29.8248,37100,3.73248,171.13617164644,2,15.481339703
33.55728,38380,3.73248,167.57194022528,2,16.3113865
37.28976,37500,3.73248,164.04371531143,2,17.056551749
41.02224,36852,3.73248,160.57622523138,2,18.158265406
44.75472,35772,3.73248,157.0130474151,2,18.835577252
48.4872,34876,3.73248,153.48446068604,2,19.746089099
52.21968,34428,3.73248,150.01896340172,2,21.578985719
55.95216,33780,3.73248,146.50959126483,2,22.418850561
59.68464,34412,3.73248,143.02181400421,2,23.019304799
63.41712,33548,3.73248,139.51800114584,2,23.791744933
67.1496,33548,3.73248,135.97363518718,2,24.645281309
70.88208,32668,3.73248,132.53668807497,2,25.93100719
74.61456,33532,3.73248,129.04109604718,2,26.745113077
78.34704,33068,3.73248,125.53338712866,2,27.536095633
82.07952,32636,3.73248,122.06854341125,2,28.400174792
85.812,30908,3.73248,118.55638732078,2,29.245861022
89.54448,30012,3.73248,115.07203239114,2,30.906210679
93.27696,30444,3.73248,111.59233952807,2,31.922793771
97.00944,30428,3.73248,108.10695832345,2,32.657364035
100.74192,29996,3.73248,104.63646927621,2,33.48267462
104.4744,30412,3.73248,101.11269628366,2,34.345631243
108.20688,29532,3.73248,97.682435893214,2,35.549351021
111.93936,28868,3.73248,94.211148125498,2,36.224927462
115.67184,29068,3.73248,90.731633406917,2,37.064175752
119.40432,28204,3.73248,87.285002091154,2,38.678675388
123.1368,27124,3.73248,83.856766220842,2,39.604115343
126.86928,27092,3.73248,80.419432420309,2,40.977101916
130.60176,26628,3.73248,76.941199016357,2,41.824300666
134.33424,25332,3.73248,73.509719591715,2,42.696774216
138.06672,25116,3.73248,70.041827342131,2,43.445287389
141.7992,23372,3.73248,66.649563745778,2,44.324148831
145.53168,25068,3.73248,63.192254929557,2,45.607313967
149.26416,24636,3.73248,59.705894292922,2,46.707281969
152.250144,22476,2.985984,56.95240912238,2,48.226647944
155.236128,21580,2.985984,54.185012094555,2,48.806410977
158.222112,22428,2.985984,51.384163558494,2,49.446902008
161.208096,22628,2.985984,48.606616317558,2,51.083011914
164.19408,21980,2.985984,45.81686088659,2,51.782378853
167.180064,20668,2.985984,43.056679551064,2,52.468093288
170.166048,21068,2.985984,40.267454215192,2,53.200820631
173.152032,20420,2.985984,37.477745664696,2,54.322126175
176.138016,18908,2.985984,34.710022283585,2,55.725436012
179.124,17796,2.985984,31.976719838982,2,56.463571149
182.109984,17980,2.985984,29.240363129672,2,57.388776951
185.095968,17116,2.985984,26.481323165431,2,58.746243676
187.4847552,16652,2.3887872,24.254687449019,2,59.495983195
189.8735424,16636,2.3887872,22.031029049917,2,60.539131573
192.2623296,15556,2.3887872,19.782373228221,2,61.136208239
194.6511168,14228,2.3887872,17.587305532014,2,61.730000426
197.039904,13780,2.3887872,15.387945150419,2,62.358156998
199.4286912,13132,2.3887872,13.156250585223,2,62.960349235
201.8174784,12452,2.3887872,10.93228221788,2,63.995728507
203.72850816,12652,1.91102976,9.1512130578697,2,64.520740128
205.63953792,11140,1.91102976,7.3841726320209,2,65.156498936
207.55056768,10028,1.91102976,5.6087878518941,2,65.751766168
209.46159744,9348,1.91102976,3.7717399048491,2,66.656313297
